;M. Ed.;Arzu;Hiwahedeweiner;Siemensstrasse 156;Thale;03987/22656;utama86@surfnet.de;Bauten- und Objektbeschichter/-in (Hw)
;M. Acc.;Gertrud;Nutemattstein;Im Winkel 150;Delitzsch;01287/66358;osita97@t-online.de;Bauwerksabdichter/-in (IH/HwEx)
;B. A.;Anne-Rose;Tiveplau;Neuer Weg 155;Bad Berleburg;061383/52325479;anne-rose.tiveplau66@gmx.de;Bauwerksmechaniker/-in für Abbruch und Betontrenntechnik (IH/HwEx)
;Bac. Jur.;Christiana;Gidafare;Mühlenstrasse 65;Koblenz;0976/527487748;evori85@outloock.de;Bearbeiter/-in für Elektroinstallationen (§ 42r HwO) (Hw)
;Bac. Oec.;Hans-Christian;Dotofo;Dieselstrasse 260;Damme;0354/944299973;hans-christian.dotofo84@outloock.de;Bearbeiter/-in für Gas- und Wasserinstallation (§ 42r HwO) (Hw)
;M. A.;Inna;Rawefoweiner;Waldstrasse 137;Waldheim;032777/52863325;udapa65@t-online.de;Bearbeiter/-in im Maurerhandwerk (§ 42r HwO) (Hw)
;M. Sc.;Norma;Vuwuflodemüller;Tulpenweg 75;Bad Saulgau;0786/25699;norma.vuwuflodemueller56@gmail.com;Bearbeiter/-in im Trockenbau (§ 42r HwO) (Hw)
;LL. M.;Nelli;Suwibemeiner;Eichenweg 15b;Vlotho;0438176/365432;itama84@t-online.de;Behälter- und Apparatebauer/-in (Hw)
;MLE;Senol;Sowevade;Blumenweg 150;Buchen (Odenwald);0841526/25328;etuze78@surfnet.de;Berg- und Maschinenmann/-frau (alle FR - IH)
;Mag. rer. publ.;Marica;Potivadeweiner;Luisenstrasse 137;Meßkirch;0599/54652763;marica.potivadeweiner98@t-online.de;Bergbautechnologe/-technologin (alle FR - IH)
;Mag. theol. ;Carolina;Vetovarestein;Beethovenstrasse 194;Ulm;06717/7669953;iviru60@outloock.de;Beton- und Stahlbetonbauer/-in (IH/Hw)
;Mag. iur.;Willfried;Fovivodeson;Daimlerstrasse 157;Laubach;038692/69579816;willfried.fovivodeson60@t-online.de;Betonfertigteilbauer/-in (IH/HwEx)
;M. Th.;Natalie;Richter;Wiesenstrasse 253a;Speyer;0624933/953558751;adupo90@yahoo.de;Biologiemodellmacher/-in (IH)
;Ph. D.;Slavica;Mawusede;Kapellenweg 280;Stolpen;032887/64621;uviro98@yahoo.de;Bodenleger/-in (IH/HwEx)
Dipl.-Inf. (DH);;Apollonia;Braun;Jahnstrasse 230;Schotten;07946/632793633;apollonia.braun59@surfnet.de;Bogenmacher/-in (Hw)
Dipl.-Ing. (DH);;Susan;Jotavade;Kirchgasse 175;Sprockhövel;01582/8678418;owafo98@gmx.de;Bootsbauer/-in (alle FR - IH/Hw)
Dipl.-Betriebsw. (DH);;Damian;Rurado;Frankenstrasse 297;Märkisch Buchholz;069974/193247822;edapu98@gmail.de;Böttcher/-in (Hw)
Dipl.-Wirtsch.-Inf. (DH);;Erik;Fotegedeson;Starenweg 158;Joachimsthal;0655/674514;erik.fotegedeson96@t-online.de;Brauer/-in und Mälzer/-in (IH/Hw)
Dipl.-Soz.päd. (DH);;Karola;Wudisadehein;Breslauer Strasse 118;Böblingen;08294/84625;irila77@test.de;Brunnenbauer/-in (IH/Hw)
Dipl.-Agrar Ing. (FH);;Friedl;Litimode;Flurstrasse 117;Rödental;0163/377459;utomi58@surfnet.de;Buchbinder/-in (Monoberuf) (Hw)
Dipl.-Archivar (FH);;Carmelo;Catehede;Danziger Strasse 201;Königs Wusterhausen;013612/3366835;ovire89@gmail.de;Büchsenmacher/-in (36 Monate) (Hw)
Dipl.-Betriebsw. (FH);;Ilja;Dusuvodeson;Neuer Weg 89c;Steinach;04226/29835;ewafe88@gmx.de;Bühnenmaler/-in und -plastiker/-in (alle FR - IH/HwEx)
Dipl.-Bibl. (FH);;Jonas;Werner;Fichtenstrasse 155;St. Blasien;08614/16238;uwufa61@email.com;Bürsten- und Pinselmacher/-in (Monoberuf) (IH/Hw)
Dipl.-Bioinf. (FH);;Bruno;Latigate;Steinweg 291;Esslingen am Neckar;076342/26378768;ilaki69@t-online.de;Chemikant/-in (IH/HwEx)
Dipl.-Bioing. (FH);;Sinaida;Kelafimeiner;Schubertstrasse 62;Johanngeorgenstadt;052593/7257164;erali71@t-online.de;Chirurgiemechaniker/-in (IH/Hw)
Dipl.-Biomath. (FH);;Gunar;Sesovadeweiner;Danziger Strasse 184;Treuenbrietzen;0793/3128742;gunar.sesovadeweiner69@gmx.de;Dachdecker/-in (alle FR - Hw)
Dipl.-Chem. (FH);;Ayten;Rolufuhein;Römerstrasse 15;Mühlberg/Elbe;01981/7276983;ayten.rolufuhein89@yahoo.de;Dachdecker/-in (Monoberuf) (Hw)
Dipl.-Des. (FH);;Bettina;Bülufledehein;Kirchplatz 226;Rothenburg ob der Tauber;011353/824182426;bettina.buelufledehein58@gmail.de;Destillateur/-in (IH/HwEx)
Dipl.-Dok. (FH);;Oswald;Werner;Raiffeisenstrasse 160;Haßfurt;0584/34149;avero62@surfnet.de;Diamantschleifer/-in (IH)
Dipl.-Dolm. (FH);;Auguste;Culusadeson;Kastanienweg 162;Bad Frankenhausen/Kyffhäuser;034133/69416;auguste.culusadeson81@gmx.de;Drechsler/-in (Elfenbeinschnitzer/-in) (alle FR - Hw)
Dipl.-Energiewirt (FH);;Sergei;Kivamauweiner;Fichtenweg 153;Rodalben;05245/1982346;eviri56@outloock.de;Edelsteinfasser/-in (IH/HwEx)
Dipl.-Ergotherapeut (FH);;Gabriella;Buvagrodemeiner;Luisenstrasse 115;Neuenbürg;0836/86941339;gabriella.buvagrodemeiner70@gmail.com;Edelsteinschleifer/-in (alle FR - IH/Hw)
Dipl.-oec.-troph. (FH);;Oscar;Falaplau;Höhenweg 74;Frankenberg/Sa.;034947/37564;otuzo77@t-online.de;Edelsteinschleifer/-in (Monoberuf) (IH/Hw)
Dipl.-Fachübersetzer (FH);;Gunar;Huber;Mozartstrasse 35;Lübz;04897/924867;usotu90@yahoo.de;Elektriker/-in -Energietechnik (§ 66 BBiG) (IH)
Dipl.-Finw. (FH);;Stefanie;Jürevodemüller;Poststrasse 181;Friedrichshafen;01793/166373613;stefanie.juerevodemueller94@test.de;Elektriker/-in -Gerätetechnik (§ 66 BBiG) (IH)
Dipl.-Forsting. (FH);;Irmgard;Patevarehein;Kirchstrasse 115;Westerburg;0257/564727859;irmgard.patevarehein57@email.com;Elektro- und Schutzgasschweißer/-in (§ 66 BBiG) (IH)
Dipl. FÖ (FH);;Matthias;Dudigatemüller;Kirchweg 108;Selm;0476997/32128;matthias.dudigatemueller77@yahoo.de;Elektroanlagenmonteur/-in (IH/HwEx)
Dipl.-Freizeitwiss. (FH);;Aloisia;Beludahein;Brunnenweg 284;Teuschnitz;0556285/974688;atizo55@gmail.com;Elektrogerätefachkraft (§ 66 BBiG) (IH)
Dipl.-Ges.oec. (FH);;Reinald;Fischer;Brunnenstrasse 72;Buchloe;04139/64249;owofe60@outloock.de;Elektrogerätemechaniker/-in (§ 66 BBiG) (IH)
Dipl.-Immobilienw. (FH);;Metin;Hofmann;Alte Dorfstrasse 285;Allendorf (Lumda);095393/17966847;adipu55@t-online.de;Elektrogerätezusammenbauer/-in (24 Monate) (§ 66 BBiG) (IH)
Dipl.-Inf. (FH);;Friedrich;Totosedehein;Tannenweg 264;Pirmasens;08458/568439899;odepe86@gmx.de;Elektroinstallationswerker/-in (§ 42r HwO) (Hw)
Dipl.-Inform. (FH);;Birgit;Masugedeson;Berliner Strasse 178;Ballenstedt;0554/425123752;odapu93@t-online.de;Elektroniker/-in (VO ab 2021) (alle FR)
Dipl.-Inf.-Wirt (FH);;Lilo;Patufuweiner;Südstrasse 122;Staufenberg;0321929/79863848;irula98@t-online.de;Elektroniker/-in (VO bis 2021) (alle FR - Hw)
Dipl.-Infw. (FH);;Bertold;Lovegrodehein;Heckenweg 252;Bad Sachsa;0534/16436449;ovure94@gmail.de;Elektroniker/-in für Automatisierungstechnik (IH/HwEx)
Dipl.-Ing. (FH);;Dietrich;Werner;Robert-Koch-Strasse 119;Dingelstädt;0453238/2823467;dietrich.werner63@test.de;Elektroniker/-in für Betriebstechnik (IH/HwEx)
Dipl.-Ing. Gartenbau (FH);;Ioannis;Weber;Hohlweg 97;Bad Kreuznach;037126/77819;usote98@yahoo.de;Elektroniker/-in für Gebäude- und Infrastruktursysteme (IH/HwEx)
Dipl.-Journ. (FH);;Trudi;Lotowatte;Rosenstrasse 293;Freudenstadt;0363118/29657;trudi.lotowatte82@t-online.de;Elektroniker/-in für Gebäudesystemintegration (Hw)
Dipl.-Kffr. (FH);B. A.;Ernst-August;Litovadeson;Lindenstrasse 136;Zell (Mosel);02171/53915;ernst-august.litovadeson55@yahoo.de;Elektroniker/-in für Geräte und Systeme (IH/HwEx)
Dipl.-Kfm. (FH);BBA;Karl-Heinrich;Zöwofomüller;Sonnenstrasse 121;Geyer;0926/38275;karl-heinrich.zoewofomueller98@gmx.de;Elektroniker/-in für Informations- und Systemtechnik (IH/HwEx)
Dipl.-Komm.Psych. (FH);B. Sc.;Elli;Jilabede;Frühlingstrasse 123;Bad Wörishofen;0518/152848521;adopa67@surfnet.de;Elektroniker/-in für Maschinen und Antriebstechnik (IH/Hw)
Dipl.-Kult.arb. (FH);LL. B.;Kirsten;Pisagate;Friedhofsweg 294;Landshut;0176692/669895;iwifi64@t-online.de;Elektroniker/-in für Maschinen und Antriebstechnik nach Handwerksordnung (Hw)
Dipl.-Künstler (FH);B. Ed.;Anita;Posegrodemeiner;Eichenstrasse 83;Oppenau;0439/924384;anita.posegrodemeiner95@surfnet.de;Elektrowerker/-in (§ 66 BBiG) (IH)
Dipl.-Kunsttherap. (FH);B. Eng.;Wolf-Rüdiger;Lehmann;Brunnenstrasse 149;Bad Breisig;08128/377875996;wolf-ruediger.lehmann99@gmail.de;Estrichleger/-in (IH/Hw)
Dipl.-Logist. (FH);B. F. A.;Diethard;Gätedomeiner;Schwarzer Weg 153;Winterberg;0316266/65731158;itamu73@outloock.de;Fachkraft Agrarservice (Lw)
Dipl.-Math. (FH);B. Mus.;Marion;Tulesade;Ulmenweg 86;Freital;098761/24652478;marion.tulesade66@outloock.de;Fachkraft für Abwassertechnik (IH/ÖD/HwEx)
Dipl.-Medieninform. (FH);B. M. A.;Lorenz;Schulze;Tulpenstrasse 128;Brunsbüttel;0646765/734897;awufe77@t-online.de;Fachkraft für Fruchtsafttechnik (IH/HwEx)
Dipl.-Medienök. (FH);M. A.;Horst-Peter;Dedosadeweiner;Kurze Strasse 23;Helmbrechts;064234/7145763;atuzu83@yahoo.de;Fachkraft für Holz- und Bautenschutzarbeiten (IH/Hw)
Dipl.-Medienw. (FH);M. Sc.;Ute;Kalasade;Wiesengrund 136;Mügeln;0556/97449;utezu65@test.de;Fachkraft für Lebensmitteltechnik (IH/HwEx)
Dipl.-Mediator (FH);M. Eng.;Janko;Hoffmann;Daimlerstrasse 145;Langewiesen;01279/3696127;etimo96@gmail.com;Fachkraft für Lederherstellung und Gerbereitechnik (IH/Hw)
Dipl.-Museol. (FH);LL. M.;Adelinde;Sesavareson;Bahnhofstrasse 125;Braunschweig;086631/92315433;adelinde.sesavareson54@gmx.de;Fachkraft für Lederverarbeitung (IH/HwEx)
Dipl.-Musiktherap. (FH);M. F. A.;Imke;Rilibistein;Forstweg 93;Hohnstein;0565/86197;imke.rilibistein79@surfnet.de;Fachkraft für Metallbearbeitung (§ 66 BBiG) (IH)
Dipl.-Naut. (FH);M. Mus.;Vesna;Föwodistein;Alte Dorfstrasse 98;Düren;0184/56743448;vesna.foewodistein68@gmx.de;Fachkraft für Metalltechnik (§ 42r HwO) (Hw)
Dipl.oec.troph (FH);M. Ed.;Antonietta;Wadaba;Kurze Strasse 148b;Altötting;0425868/5132293;antonietta.wadaba95@email.com;Fachkraft für Metalltechnik (alle FR - IH/HwEx)
Dipl.-Online-Journalist (FH);M. Acc.;Gertrude;Gävewede;Bismarckstrasse 211;Güsten;0177/12691;gertrude.gaevewede91@gmail.de;Fachkraft für Möbel-, Küchen- und Umzugsservice (IH/HwEx)
Dipl.-Pfl. (FH);B. A.;Ulf;Bowobamüller;Schubertstrasse 212;Herzogenrath;0334464/19547235;arulo63@gmail.com;Fachkraft für Rohr-, Kanal- und Industrieservice (IH/ÖD/HwEx)
Dipl.-Pflegew. (FH);Bac. Jur.;Ernest;Gatamattweiner;Forststrasse 284d;Germersheim;0214859/967172;ernest.gatamattweiner74@email.com;Fachkraft für Sanitär-, Heizungs- und Klimatechnik (§ 42r HwO) (Hw)
Dipl.-Pflegepäd. (FH);Bac. Oec.;Siglinde;Hosadu;Poststrasse 112;Nienburg (Saale);0861/34297812;edepo86@gmx.de;Fachkraft für Veranstaltungstechnik (IH/HwEx)
Dipl.-Physiotherapeut (FH);M. A.;Hans-Ludwig;Fovowattemeiner;Friedrich-Ebert-Strasse 33;Herdorf;05541/7554545;hans-ludwig.fovowattemeiner99@gmail.com;Fachkraft für Wasserversorgungstechnik (IH/ÖD/HwEx)
Dipl.-Pol. (FH);M. Sc.;Sarina;Schwarz;Wilhelmstrasse 24c;Tengen;05737/548936793;uvero86@email.com;Fachkraft für Speiseeis (Hw)
Dipl.-Red. (FH);LL. M.;Ricarda;Jutaflodeson;Seestrasse 151c;Bärnau;08263/5386398;ricarda.jutaflodeson74@gmail.de;Fachpraktiker/-in Anlagenmechanik für Sanitär-, Heizungs- und Klimatechnik (§ 42r HwO) (Hw)
Dipl.-Rel.-päd. (FH);MLE;Heino;Cavivodestein;Wacholderweg 212c;Wadern;056874/82722414;iwufo76@yahoo.de;Fachpraktiker/-in Fahrzeuglackierer/-in (§ 42r HwO) (Hw)
Dipl.-Rest. (FH);Mag. rer. publ.;Dogan;Bätube;Forstweg 149b;Borna;05584/55792;eleke60@gmail.com;Fachpraktiker/-in für Buchbinderei (§ 42r HwO) (Hw)
Dipl.-Reha-psych. (FH);Mag. theol. ;Hatice;Rüwiwatteson;Jägerstrasse 131;Genthin;08348/466958991;odupu86@yahoo.de;Fachpraktiker/-in für Elektronik FR Energie- und Gebäudetechnik (36 Monate) (§ 42r HwO) (Hw)
Dipl.-Rpfl. (FH);Mag. iur.;Kathy;Rotesede;Karlstrasse 75;Zwenkau;03516/97617172;kathy.rotesede92@test.de;Fachpraktiker/-in für Elektronik FR Energie- und Gebäudetechnik (42 Monate) (§ 42r HwO) (Hw)
Dipl.-Sicherheitsing. (FH);M. Th.;Antonius;Lörevare;Mörikestrasse 124;Meschede, Kreis- und  Hochschulstadt;0511/954729;uleke82@outloock.de;Fachpraktiker/-in für Elektroniker/-in FR Gebäude und Energietechnik (§ 42r HwO) (Hw)
Dipl.-Soz. Arb. (FH);Ph. D.;Emanuel;Howiwedemeiner;Tannenweg 48;Bad Bergzabern;0125/369533835;emanuel.howiwedemeiner67@outloock.de;Fachpraktiker/-in für Elektronische Geräte und Systeme (§ 66 BBiG) (IH)
Dipl.-Soz.jur. (FH);;Dörte;Fütabuweiner;Waldweg 233;Schlieben;026275/48298;doerte.fuetabuweiner74@surfnet.de;Fachpraktiker/-in für Fahrzeuglackierung (§ 42r HwO) (Hw)
Dipl.-Soz.päd. (FH);;Raimund;Vötosede;Mozartstrasse 51b;Geretsried;0691/4613921;iwife89@gmail.de;Fachpraktiker/-in für Fleischer/-in (§ 42r HwO) (Hw)
Dipl.-Soz.wirt (FH);;Urban;Powosadeweiner;Buchenweg 252;Rastatt;0715/2251691;asuti80@t-online.de;Fachpraktiker/-in für Haus- und Gebäudedienste (§ 66 BBiG) (IH)
Dipl.-Techn. (FH);;Alfredo;Sedabodo;Gutenbergstrasse 114;Coburg;029837/537228468;esito56@test.de;Fachpraktiker/-in für Holzverarbeitung (§ 42r HwO) (Hw)
Dipl.-Tech.-Red. (FH);;Ole;Zitimattweiner;Forstweg 124;Bad Orb;01136/135621;ole.zitimattweiner79@test.de;Fachpraktiker/-in für Holzverarbeitung (§ 66 BBiG) (IH)
Dipl.-Übers. (FH);;Jan-Peter;Hetabede;Friedensstrasse 40;Bad Sachsa;0399835/293852411;jan-peter.hetabede95@outloock.de;Fachpraktiker/-in für Industrieelektrik (§ 66 BBiG) (IH)
Dipl.-Vers.-Betriebsw. (FH);;Sigmar;Liwedu;Sonnenweg 84;Ottweiler;0216624/392485;idopu87@surfnet.de;Fachpraktiker/-in für Industrieelektrik (36 Monate) (§ 66 BBiG) (IH)
Dipl.-Verww. (FH);;Marieluise;Garivade;Friedhofsweg 73;Oschatz;075819/2616386;adapi56@test.de;Fachpraktiker/-in für Industriemechanik (§ 66 BBiG) (IH)
Dipl.-Verw.-Betriebsw. (FH);;Alberto;Cotaflede;Burgstrasse 175;Rehburg-Loccum;0314261/6552196;alberto.cotaflede86@email.com;Fachpraktiker/-in für IT-Systeme (§ 66 BBiG) (IH)
Dipl.-Verw.-Manager (FH);;Trudel;Luwebodoweiner;Rotdornweg 160a;Neumarkt i.d.OPf.;0374165/69513259;trudel.luwebodoweiner62@gmx.de;Fachpraktiker/-in für IT-System-Elektronik (§ 66 BBiG) (IH)
Dipl.-Volksw. (FH);;Bianka;Schmitt;Siedlung 293;Schwerte an der Ruhr;05574/264483;bianka.schmitt64@outloock.de;Fachpraktiker/-in für Kfz-Mechatronik (§ 42r HwO) (Hw)
Dipl.-Wirt.-Inf. (FH);;Alban;Braun;Eichenstrasse 55;Kappeln;08374/428979727;alban.braun77@gmail.de;Fachpraktiker/-in für Land- und Baumaschinentechnik (§ 42r HwO) (Hw)
Dipl.-Wi.-Inform. (FH);;Katja;Cewivoreweiner;Buchenweg 237;Freiberg;04938/85417997;etoze70@surfnet.de;Fachpraktiker/-in für Maler/-in und Lackierer/-in (§ 42r HwO) (Hw)
Dipl.-Wirtsch.-Ing. (FH);;Saban;Neumann;Im Wiesengrund 262;Kindelbrück;041658/871328848;saban.neumann68@outloock.de;Fachpraktiker/-in für Medientechnologie Druck (§ 66 BBiG) (IH)
Dipl.-Wirt.-Ing. (FH);;Annegrete;Schmitt;Industriestrasse 259;Dülmen;019355/17974575;annegrete.schmitt58@gmx.de;Fachpraktiker/-in für Medientechnologie Druckverarbeitung (§ 66 BBiG) (IH)
Dipl.-Wi.Jur. (FH);;Marten;Luvivareweiner;Drosselweg 48;Saalburg-Ebersdorf;0539311/649614;etoza80@gmail.com;Fachpraktiker/-in für Metallbau (§ 42r HwO) (Hw)
Dipl.-Wirtschaftspsych. (FH);;Dajana;Hävuflede;Weidenweg 101;Enger, Widukindstadt;018639/58685742;aleku89@yahoo.de;Fachpraktiker/-in für Metallbau (§ 66 BBiG) (IH)
Dipl.-Wirt.-Übers.(FH);;Roselinde;Dutolode;Gartenstrasse 21;Bad Schandau;0485625/751741;urulo73@gmx.de;Fachpraktiker/-in für Metallbauer/-in FR Konstruktionstechnik (§ 42r HwO) (Hw)
;;Hans-Adolf;Getimodeweiner;Gerhart-Hauptmann-Strasse 202;Ochsenfurt;0691/275112;uwafa62@test.de;Fachpraktiker/-in für Metalltechnik (§ 66 BBiG) (IH)
Dipl.-Anim.;;Willibert;Schmidt;Schlossstrasse 59;Nordhorn;0324/24585;esuti87@surfnet.de;Fachpraktiker/-in für Metalltechnik (36 Monate) (§ 66 BBiG) (IH)
Dipl.-Arch.;;Hildegard;Schmid;Rosenstrasse 225;Zehdenick;059138/96925463;hildegard.schmid92@yahoo.de;Fachpraktiker/-in für Tischler/-in (§ 42r HwO) (Hw)
Dipl. Audiovisuelle Medien;;Corinna;Werner;Im Wiesengrund 171;Borken;0396/58941162;aluki81@email.com;Fachpraktiker/-in für Zerspanungsmechanik (§ 42r HwO) (Hw)
;;Hubertus;Huvofaremüller;Drosselweg 7;Nauen;046124/568722286;hubertus.huvofaremueller93@yahoo.de;Fachpraktiker/-in für Zerspanungsmechanik (§ 66 BBiG) (IH)
Dipl.-Ing.;;Alexej;Zörigaumüller;Karlstrasse 26;Kölleda;074687/555374;otimu94@test.de;Fachpraktiker/-in für Zerspanungstechnik (§ 66 BBiG) (IH)
Dipl.-Kam.;;Alois;Nätesege;Kantstrasse 208c;Bad Sulza;027868/94355484;alois.naetesege74@surfnet.de;Fachpraktiker/-in für Zweiradmechatronik (§ 66 BBiG) (IH)
Dipl. Kunstpädagogik;;Ana;Schulze;Sudetenstrasse 182;Bad Kreuznach;04582/756195336;ana.schulze74@test.de;Fachpraktiker/-in Gartenbau (§ 66 BBiG) (Lw)
Dipl. Kunstpädagogik/Kunstvermittlung;;Dragan;Vörivodeson;Drosselweg 21;Oerlinghausen;0249587/529861955;dragan.voerivodeson96@surfnet.de;Fachpraktiker/-in im Damenschneiderhandwerk (§ 42r HwO) (Hw)
Dipl.-Kunst.-Päd.;;Stephen;Liwofu;Im Wiesengrund 278;Traunstein;08385/257178;otamu58@gmail.de;Fachpraktiker/-in im Fleischerhandwerk (§ 42r HwO) (Hw)
Dipl.-Rest.;;Monica;Medifomüller;Frühlingstrasse 184;Pfreimd;0732346/1121713;utezi69@gmx.de;Fachpraktiker/-in im Gebäudeservice (§ 66 BBiG) (IH)
Dipl. Mus.;;Theodora;Pulusedeweiner;Fichtenweg 123c;Bretten;0732/571466;utomi95@gmail.de;Fachpraktiker/-in im Hochbau (§ 42r HwO) (Hw)
Dipl.-Mus.-Päd.;;Ottokar;Fätagatemeiner;Brunnenweg 115;Rötha;05137/37581;uliku92@email.com;Fachpraktiker/-in im Maler- und Lackiererhandwerk (§ 42r HwO) (Hw)
Dipl.-Musikl.;;Matthias;Hartmann;Friedrichstrasse 254;Beilstein;0642/69256;utizo74@t-online.de;Fachpraktiker/-in im Maßschneiderhandwerk (§ 42r HwO) (Hw)
Dipl.-Reg.;;Krzysztof;Mesuvodehein;Kantstrasse 172;Buttelstedt;036985/7225693;esuto66@outloock.de;Fachpraktiker/-in im Maurerhandwerk (§ 42r HwO) (Hw)
Dipl.-Schau.;;Ramazan;Kaiser;Friedhofstrasse 208b;Rheinau;01581/454856;uveri70@outloock.de;Fachpraktiker/-in im Tischler-Handwerk (§ 42r HwO) (Hw)
Dipl.-Schnittm.;;Ann-Kathrin;Salebastein;Kirchenweg 270a;Hettingen;066355/872726;owufu54@outloock.de;Fachpraktiker/-in im Zimmererhandwerk (§ 42r HwO) (Hw)
Dipl.-Szeneb.;B. A.;Rudolph;Buvivoremüller;Schillerstrasse 89;Ettlingen;0563/7621128;rudolph.buvivoremueller89@outloock.de;Fachpraktiker/-in in der Landwirtschaft (§ 66 BBiG) (Lw)
Dipl.-Szenem.;BBA;Claus-Dieter;Kivusademüller;Ludwigstrasse 31b;Melsungen;069486/597342689;isuti84@gmx.de;Fachpraktiker/-in in der Pferdewirtschaft (§ 66 BBiG) (Lw)
Dipl.-Tonm.;B. Sc.;Kenan;Nöwimodeweiner;Oststrasse 192;Villingen-Schwenningen;059992/321832226;kenan.noewimodeweiner62@surfnet.de;Fachpraktiker/-in Landwirtschaft (§ 66 BBiG) (Lw)
Dipl. Vis. Komm.;LL. B.;Oskar;Milevareweiner;Wiesenweg 239;Neustadt an der Weinstraße;04943/535313579;oskar.milevareweiner80@gmail.de;"Fachpraktiker/-in Maler/-in und Lackierer/-in 
(§ 42r HwO) (Hw)"
;B. Ed.;Genoveva;Dütisegemüller;Gerhart-Hauptmann-Strasse 103c;Bad Münder am Deister;053635/179854318;etemo83@surfnet.de;"Fachpraktiker/-in im Dachdeckerhandwerk 
(§ 42r HwO) (Hw)"
Dipl.agr.biol.;B. Eng.;Cilly;Neumann;Parkstrasse 19;Weinstadt;033928/23812;cilly.neumann86@surfnet.de;Fachwerker/-in für Feinwerktechnik (§ 42r HwO) (Hw)
Dipl.agr.oec.;B. F. A.;Nelly;Meteplaumeiner;Nelkenweg 1;Sachsenheim;0749489/281612442;utume76@gmail.com;Fachwerker/-in für Gebäude- und Umweltdienstleistung (§ 66 BBiG) (IH)
Dipl.-Angl.;B. Mus.;Antonino;Krause;Raiffeisenstrasse 247;Gau-Algesheim;0797/87963;ivero63@gmail.com;Fachwerker/-in im Gartenbau (§ 66 BBiG) (Lw)
Dipl.-Arch.;B. M. A.;Murat;Dusalatestein;Bergstrasse 214;Wörth am Rhein;036498/65357;otozi79@outloock.de;Fachwerker/-in im Maler- und Lackiererhandwerk (§ 42r HwO) (Hw)
Dipl.-Berufspäd.;M. A.;Cynthia;Röwehedehein;Römerstrasse 121;Plön;02251/19576638;aviro65@t-online.de;Fahrradmonteur/-in (IH/Hw)
Dipl.-Betriebsw.;M. Sc.;Dimitri;Schulz;Pfarrgasse 241;Hemmoor;036958/4246934;dimitri.schulz64@outloock.de;Fahrzeuginnenausstatter/-in (IH/HwEx)
Dipl.-Bibl.;M. Eng.;Arthur;Vewudu;Am Hang 186;Aschaffenburg;0164/644977833;oviru82@test.de;Fahrzeuginterieur-Mechaniker/-in (IH)
Dipl.-Biochem.;LL. M.;Pasquale;Soteflodemüller;Flurstrasse 242;St. Georgen im Schwarzwald;0769/9162131;pasquale.soteflodemueller59@gmx.de;Fahrzeuglackierer/-in (IH/Hw)
